Utilization,Theoretical Delay
0.098,0.10072431633407243
0.099,0.10073251942286349
0.1,0.10074074074074074
0.101,0.10074898034853541
0.10200000000000001,0.10075723830734967
0.10300000000000001,0.10076551467855817
0.10400000000000001,0.10077380952380953
0.10500000000000001,0.10078212290502794
0.106,0.10079045488441463
0.107,0.10079880552444943
0.108,0.10080717488789238
0.109,0.10081556303778527
0.11,0.10082397003745319
0.111,0.10083239595050619
0.112,0.10084084084084084
0.113,0.10084930477264187
0.114,0.10085778781038375
0.115,0.10086629001883239
0.116,0.10087481146304676
0.117,0.10088335220838053
0.11800000000000001,0.10089191232048375
0.11900000000000001,0.10090049186530459
0.12000000000000001,0.10090909090909092
0.121,0.10091770951839212
0.122,0.10092634776006075
0.123,0.10093500570125429
0.124,0.10094368340943684
0.125,0.10095238095238096
0.126,0.10096109839816934
0.127,0.10096983581519664
0.128,0.10097859327217126
0.129,0.10098737083811711
0.13,0.10099616858237548
0.131,0.10100498657460684
0.132,0.10101382488479263
0.133,0.10102268358323722
0.134,0.10103156274056968
0.135,0.10104046242774567
0.136,0.1010493827160494
0.137,0.10105832367709541
0.138,0.10106728538283064
0.139,0.1010762679055362
0.14,0.10108527131782946
0.14100000000000001,0.1010942956926659
0.14200000000000002,0.10110334110334111
0.14300000000000002,0.10111240762349281
0.14400000000000002,0.10112149532710281
0.14500000000000002,0.10113060428849903
0.146,0.10113973458235753
0.147,0.10114888628370458
0.148,0.10115805946791863
0.149,0.10116725421073247
0.15,0.1011764705882353
0.151,0.10118570867687476
0.152,0.10119496855345912
0.153,0.10120425029515939
0.154,0.10121355397951143
0.155,0.10122287968441815
0.156,0.10123222748815167
0.157,0.10124159746935549
0.158,0.10125098970704673
0.159,0.10126040428061832
0.16,0.10126984126984127
0.161,0.10127930075486691
0.162,0.10128878281622912
0.163,0.10129828753484668
0.164,0.10130781499202553
0.165,0.10131736526946108
0.166,0.10132693844924061
0.167,0.10133653461384555
0.168,0.10134615384615385
0.169,0.10135579622944245
0.17,0.10136546184738957
0.171,0.1013751507840772
0.17200000000000001,0.10138486312399357
0.17300000000000001,0.10139459895203548
0.17400000000000002,0.1014043583535109
0.17500000000000002,0.10141414141414141
0.17600000000000002,0.10142394822006473
0.177,0.10143377885783719
0.178,0.10144363341443634
0.179,0.1014535119772635
0.18,0.10146341463414635
0.181,0.10147334147334149
0.182,0.10148329258353708
0.183,0.10149326805385557
0.184,0.10150326797385621
0.185,0.10151329243353784
0.186,0.10152334152334153
0.187,0.10153341533415335
0.188,0.10154351395730707
0.189,0.10155363748458694
0.19,0.10156378600823046
0.191,0.1015739596209312
0.192,0.10158415841584159
0.193,0.1015943824865758
0.194,0.10160463192721257
0.195,0.10161490683229814
0.196,0.1016252072968491
0.197,0.10163553341635534
0.198,0.10164588528678305
0.199,0.10165626300457761
0.2,0.10166666666666667
0.201,0.10167709637046309
0.202,0.10168755221386801
0.203,0.10169803429527395
0.20400000000000001,0.10170854271356784
0.20500000000000002,0.10171907756813418
0.20600000000000002,0.10172963895885812
0.20700000000000002,0.10174022698612863
0.20800000000000002,0.10175084175084176
0.20900000000000002,0.10176148335440371
0.21,0.10177215189873419
0.211,0.10178284748626955
0.212,0.10179357021996617
0.213,0.1018043202033037
0.214,0.10181509754028839
0.215,0.10182590233545648
0.216,0.10183673469387755
0.217,0.10184759472115794
0.218,0.10185848252344416
0.219,0.10186939820742638
0.22,0.10188034188034188
0.221,0.10189131364997861
0.222,0.10190231362467866
0.223,0.10191334191334192
0.224,0.10192439862542955
0.225,0.10193548387096775
0.226,0.10194659776055126
0.227,0.10195774040534714
0.228,0.10196891191709845
0.229,0.10198011240812797
0.23,0.101991341991342
0.231,0.10200260078023407
0.232,0.10201388888888889
0.233,0.10202520643198609
0.234,0.10203655352480419
0.23500000000000001,0.10204793028322441
0.23600000000000002,0.10205933682373473
0.23700000000000002,0.10207077326343382
0.23800000000000002,0.102082239720035
0.23900000000000002,0.10209373631187035
0.24000000000000002,0.10210526315789474
0.241,0.10211682037768995
0.242,0.10212840809146878
0.243,0.10214002642007927
0.244,0.10215167548500882
0.245,0.10216335540838853
0.246,0.10217506631299736
0.247,0.1021868083222665
0.248,0.10219858156028369
0.249,0.1022103861517976
0.25,0.10222222222222223
0.251,0.10223408989764131
0.252,0.10224598930481284
0.253,0.10225792057117358
0.254,0.10226988382484362
0.255,0.10228187919463087
0.256,0.10229390681003585
0.257,0.10230596680125617
0.258,0.10231805929919138
0.259,0.1023301844354476
0.26,0.10234234234234235
0.261,0.10235453315290935
0.262,0.10236675700090335
0.263,0.10237901402080507
0.264,0.10239130434782609
0.265,0.10240362811791384
0.266,0.10241598546775658
0.267,0.10242837653478855
0.268,0.1024408014571949
0.269,0.10245326037391701
0.27,0.10246575342465754
0.271,0.1024782807498857
0.272,0.10249084249084249
0.273,0.10250343878954608
0.274,0.10251606978879707
0.275,0.10252873563218391
0.276,0.1025414364640884
0.277,0.1025541724296911
0.278,0.10256694367497692
0.279,0.10257975034674065
0.28,0.1025925925925926
0.281,0.10260547056096431
0.28200000000000003,0.10261838440111422
0.28300000000000003,0.10263133426313344
0.28400000000000003,0.10264432029795159
0.28500000000000003,0.10265734265734267
0.28600000000000003,0.10267040149393092
0.28700000000000003,0.10268349696119683
0.28800000000000003,0.10269662921348315
0.28900000000000003,0.10270979840600095
0.29,0.10272300469483568
0.291,0.10273624823695346
0.292,0.10274952919020716
0.293,0.10276284771334276
0.294,0.10277620396600567
0.295,0.10278959810874705
0.296,0.10280303030303031
0.297,0.10281650071123756
0.298,0.10283000949667617
0.299,0.10284355682358536
0.3,0.10285714285714287
0.301,0.10287076776347163
0.302,0.10288443170964662
0.303,0.10289813486370158
0.304,0.10291187739463602
0.305,0.10292565947242206
0.306,0.10293948126801153
0.307,0.10295334295334296
0.308,0.10296724470134876
0.309,0.10298118668596237
0.31,0.10299516908212561
0.311,0.10300919206579584
0.312,0.1030232558139535
0.313,0.10303736050460942
0.314,0.10305150631681244
0.315,0.10306569343065694
0.316,0.10307992202729045
0.317,0.10309419228892143
0.318,0.10310850439882699
0.319,0.10312285854136075
0.32,0.1031372549019608
0.321,0.1031516936671576
0.322,0.10316617502458211
0.323,0.10318069916297391
0.324,0.10319526627218936
0.325,0.10320987654320989
0.326,0.10322453016815035
0.327,0.10323922734026747
0.328,0.10325396825396826
0.329,0.10326875310481869
0.33,0.10328358208955224
0.331,0.10329845540607872
0.332,0.10331337325349302
0.333,0.10332833583208396
0.334,0.10334334334334334
0.335,0.10335839598997494
0.336,0.10337349397590362
0.337,0.10338863750628458
0.338,0.1034038267875126
0.339,0.10341906202723147
0.34,0.10343434343434343
0.341,0.10344967121901873
0.342,0.10346504559270517
0.343,0.103480466768138
0.34400000000000003,0.1034959349593496
0.34500000000000003,0.1035114503816794
0.34600000000000003,0.1035270132517839
0.34700000000000003,0.10354262378764677
0.34800000000000003,0.10355828220858897
0.34900000000000003,0.10357398873527907
0.35000000000000003,0.1035897435897436
0.35100000000000003,0.10360554699537751
0.35200000000000004,0.10362139917695475
0.353,0.10363730036063885
0.354,0.10365325077399382
0.355,0.10366925064599483
0.356,0.10368530020703934
0.357,0.10370139968895802
0.358,0.10371754932502597
0.359,0.10373374934997401
0.36,0.10375000000000001
0.361,0.10376630151278039
0.362,0.10378265412748172
0.363,0.10379905808477237
0.364,0.10381551362683439
0.365,0.10383202099737533
0.366,0.10384858044164039
0.367,0.10386519220642444
0.368,0.10388185654008439
0.369,0.10389857369255151
0.37,0.10391534391534392
0.371,0.10393216746157924
0.372,0.10394904458598726
0.373,0.10396597554492291
0.374,0.10398296059637913
0.375,0.10400000000000001
0.376,0.10401709401709403
0.377,0.10403424291064742
0.378,0.10405144694533763
0.379,0.10406870638754698
0.38,0.10408602150537635
0.381,0.10410339256865914
0.382,0.1041208198489752
0.383,0.10413830361966506
0.384,0.10415584415584417
0.385,0.10417344173441735
0.386,0.10419109663409339
0.387,0.10420880913539968
0.388,0.10422657952069718
0.389,0.10424440807419531
0.39,0.10426229508196722
0.391,0.10428024083196498
0.392,0.1042982456140351
0.393,0.10431630971993411
0.394,0.10433443344334434
0.395,0.10435261707988981
0.396,0.10437086092715232
0.397,0.10438916528468768
0.398,0.1044075304540421
0.399,0.10442595673876873
0.4,0.10444444444444445
0.401,0.10446299387868671
0.402,0.10448160535117057
0.403,0.10450027917364602
0.404,0.10451901565995526
0.405,0.10453781512605043
0.406,0.10455667789001123
0.40700000000000003,0.10457560427206296
0.40800000000000003,0.1045945945945946
0.40900000000000003,0.10461364918217711
0.41000000000000003,0.10463276836158193
0.41100000000000003,0.10465195246179967
0.41200000000000003,0.10467120181405896
0.41300000000000003,0.10469051675184554
0.41400000000000003,0.1047098976109215
0.41500000000000004,0.10472934472934474
0.41600000000000004,0.10474885844748859
0.41700000000000004,0.10476843910806176
0.418,0.1047880870561283
