packet_id,util,create_time,receive_time
109.0,0.84,0.896973266152541,0.1473932417590348
110.0,0.84,0.9072007331354388,0.145165774776137
111.0,0.84,0.928743687173149,0.1316228207384268
112.0,0.84,0.9303733252843882,0.13799318262718763
113.0,0.84,0.942299073994874,0.13406743391670184
114.0,0.84,0.9455475952035257,0.13881891270805014
115.0,0.84,0.9534453410977085,0.13892116681386735
116.0,0.84,0.9649019860178457,0.13546452189373015
117.0,0.84,0.9704697001859851,0.13789680772559076
118.0,0.84,0.9989572386224453,0.11740926928913054
119.0,0.84,1.0004452259024583,0.12392128200911756
120.0,0.84,1.0126172551749506,0.11974925273662529
121.0,0.84,1.013551656323445,0.12681485158813088
122.0,0.84,1.0179325683446072,0.1304339395669687
123.0,0.84,1.01805146360295,0.13831504430862585
124.0,0.84,1.019768149188708,0.14459835872286786
125.0,0.84,1.0365246245011908,0.13584188341038517
126.0,0.84,1.0614334947157373,0.1189330131958386
127.0,0.84,1.0692127143991257,0.11915379351245026
128.0,0.84,1.0792376293451051,0.1171288785664708
129.0,0.84,1.0794116702706091,0.12495483764096682
130.0,0.84,1.0862561373358308,0.12611037057574515
131.0,0.84,1.1025906087664257,0.1177758991451503
132.0,0.84,1.1036563216239603,0.12471018628761565
133.0,0.84,1.111513769420299,0.12485273849127698
134.0,0.84,1.1132625349226188,0.13110397298895715
135.0,0.84,1.1196611511782713,0.13270535673330475
136.0,0.84,1.130116134158587,0.13025037375298898
137.0,0.84,1.1518804030097272,0.11648610490184885
138.0,0.84,1.1564859393935603,0.11988056851801576
139.0,0.84,1.1601690916699772,0.12419741624159886
140.0,0.84,1.1614013199087119,0.13096518800286416
141.0,0.84,1.1670625088527855,0.13330399905879053
142.0,0.84,1.1686416112064821,0.13972489670509392
143.0,0.84,1.170680915859665,0.14568559205191112
144.0,0.84,1.175708040487462,0.14865846742411404
145.0,0.84,1.182448057551998,0.14991845035957807
146.0,0.84,1.1878067572434263,0.15255975066814975
147.0,0.84,1.1887802003457257,0.15958630756585035
148.0,0.84,1.1912723494175468,0.1650941584940293
149.0,0.84,1.1959584074511194,0.16840810046045673
150.0,0.84,1.2197800150510691,0.15258649286050696
151.0,0.84,1.2310193851376923,0.14934712277388384
152.0,0.84,1.249159945179947,0.139206562731629
153.0,0.84,1.2662208993621715,0.1301456085494046
154.0,0.84,1.312002006109232,0.1080000000000001
155.0,0.84,1.3144099458602094,0.11359206024902258
156.0,0.84,1.3394375787345625,0.1080000000000001
157.0,0.84,1.3631344738979427,0.1080000000000001
158.0,0.84,1.3802132163113632,0.1080000000000001
159.0,0.84,1.3879224333840943,0.10829078292726901
160.0,0.84,1.4014343416972177,0.1080000000000001
161.0,0.84,1.4177559261315322,0.1080000000000001
