Time,Queue Size,Event
2.5904,0,size
2.596,1,size
2.596,2,size
2.596,3,size
2.596,4,size
2.596,5,size
2.5968,4,size
2.5976,3,size
2.5984,2,size
2.5992,1,size
2.6,0,size
3.6416,1,size
3.6416,2,size
3.6416,3,size
3.6416,4,size
3.6416,5,size
3.6416,6,size
3.6416,7,size
3.6424,6,size
3.6432,5,size
3.644,4,size
3.6448,3,size
3.6456,2,size
3.6464,1,size
3.6472,0,size
3.6672,1,size
3.6672,2,size
3.6672,3,size
3.6672,4,size
3.6672,5,size
3.6672,6,size
3.6672,7,size
3.6672,8,size
3.668,7,size
3.6688,6,size
3.6696,5,size
3.6704,4,size
3.6712,3,size
3.672,2,size
3.6728,1,size
3.6736,0,size
3.6872,1,size
3.688,0,size
3.6896,1,size
3.6896,2,size
3.6896,3,size
3.6896,4,size
3.6896,5,size
3.6896,6,size
3.6904,5,size
3.6912,4,size
3.692,3,size
3.6928,2,size
3.6936,1,size
3.6936,2,size
3.6944,1,size
3.6944,2,size
3.6944,3,size
3.6944,4,size
3.6944,5,size
3.6944,6,size
3.6944,7,size
3.6944,8,size
3.6944,9,size
3.6952,8,size
3.696,7,size
3.6968,6,size
3.6976,5,size
3.6984,4,size
3.6992,3,size
3.7,2,size
3.7008,1,size
3.7016,0,size
3.7152,1,size
3.7152,2,size
3.7152,3,size
3.7152,4,size
3.7152,5,size
3.7152,6,size
3.7152,7,size
3.716,6,size
3.7168,5,size
3.7176,4,size
3.7176,5,size
3.7176,6,size
3.7176,7,size
3.7176,8,size
3.7176,9,size
3.7184,8,size
3.7192,7,size
3.72,6,size
3.7208,5,size
3.7216,4,size
3.7216,5,size
3.7224,4,size
3.7224,5,size
3.7224,6,size
3.7224,7,size
3.7224,8,size
3.7224,9,size
3.7224,10,size
3.7224,11,size
3.7224,12,size
3.7224,13,size
3.7232,12,size
3.724,11,size
3.7248,10,size
3.7256,9,size
3.7264,8,size
3.7272,7,size
3.728,6,size
3.7288,5,size
3.7296,4,size
3.7304,3,size
3.7312,2,size
3.732,1,size
3.7328,0,size
3.7392,1,size
3.7392,2,size
3.7392,3,size
3.7392,4,size
3.7392,5,size
3.7392,6,size
3.74,5,size
3.7408,4,size
3.7416,3,size
3.7424,2,size
3.7424,3,size
3.7432,2,size
3.744,1,size
3.7448,0,size
3.7496,1,size
3.7496,2,size
3.7496,3,size
3.7496,4,size
3.7504,3,size
3.7512,2,size
3.752,1,size
3.7528,0,size
